City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
232,praia,14.9215,-23.5087,25.3,38,20,4.12,CV,1678226487
233,pevek,69.7008,170.3133,-33.4,95,10,0.57,RU,1678226181
234,airai,-8.9266,125.4092,15.29,88,100,0.67,TL,1678226173
235,metu,8.3,35.5833,18.14,60,83,1.47,ET,1678226488
236,pechora,65.1472,57.2244,-23.73,92,100,2.3,RU,1678226488
237,ambunti,-4.2365,142.8448,23.21,97,100,0.52,PG,1678226488
238,kupang,-10.1667,123.5833,23.32,100,40,1.03,ID,1678226296
239,torbay,47.6666,-52.7314,1.82,95,100,7.72,CA,1678226249
240,rincon de la victoria,36.7172,-4.2758,18.8,79,60,3.15,ES,1678225891
241,harper,4.375,-7.7169,27.1,83,73,3.91,LR,1678226489
242,alihe,50.5667,123.7167,-13.68,99,92,0.74,CN,1678226489
243,provideniya,64.3833,-173.3,-8.89,92,100,0.45,RU,1678226184
244,sao joao da barra,-21.6403,-41.0511,28.05,85,34,8.13,BR,1678226215
245,khirkiya,22.1674,76.8605,19.9,57,2,1.92,IN,1678226491
246,vinukonda,16.05,79.75,21.57,71,60,0.98,IN,1678226491
247,bereznik,62.8551,42.7072,-8.27,97,100,1.81,RU,1678226491
248,melfi,40.9965,15.6514,8.31,90,23,3.76,IT,1678225959
249,bowen,-20.0167,148.2333,26.57,83,85,4.5,AU,1678226492
250,korla,41.7597,86.1469,7.49,50,1,1.02,CN,1678226252
251,san carlos de bariloche,-41.1456,-71.3082,15.86,72,75,4.12,AR,1678226332
252,ureki,41.9956,41.7786,10.98,68,100,5.16,GE,1678226492
253,price,39.5994,-110.8107,4.59,41,100,1.29,US,1678226318
254,punta alta,-38.8759,-62.0736,20.83,71,46,7.05,AR,1678226493
255,marsh harbour,26.5412,-77.0636,25.07,71,0,5.63,BS,1678226493
256,bojnurd,37.4747,57.329,6.7,88,100,0.67,IR,1678226493
257,moerai,-22.4333,-151.3333,27.9,82,43,7.91,PF,1678226494
258,birjand,32.8663,59.2211,13.26,24,0,4.12,IR,1678226494
259,tasiilaq,65.6145,-37.6368,-7.91,84,66,1.82,GL,1678226193
260,independencia,-5.3964,-40.3086,28.84,34,30,2.4,BR,1678226495
261,wasco,35.5941,-119.341,13.48,44,8,2.63,US,1678226495
262,sabha,27.0377,14.4283,20.38,19,0,2.69,LY,1678226178
263,modrica,43.5204,21.3647,9.9,72,28,2.22,RS,1678226495
264,roswell,34.0232,-84.3616,25.6,26,20,5.14,US,1678226479
265,vinh,18.6667,105.6667,18.33,94,2,0.58,VN,1678226496
266,yulara,-25.2406,130.9889,18.0,37,0,5.45,AU,1678226172
267,saint-augustin,51.226,-58.6502,2.2,96,100,8.99,CA,1678226496
268,alghero,40.5589,8.3181,14.05,100,40,6.69,IT,1678226497
